country_name,country_code,neighbor_name,neighbor_code
Afghanistan,AFG,China,CHN
Afghanistan,AFG,Iran,IRN
Afghanistan,AFG,Pakistan,PAK
Afghanistan,AFG,Tajikistan,TJK
Afghanistan,AFG,Turkmenistan,TKM
Afghanistan,AFG,Uzbekistan,UZB
Angola,AGO,Democratic Republic of the Congo,COD
Angola,AGO,Republic of Congo,COG
Angola,AGO,Namibia,NAM
Angola,AGO,Zambia,ZMB
Albania,ALB,Greece,GRC
Albania,ALB,Kosovo,KOS
Albania,ALB,Macedonia,MKD
Albania,ALB,Montenegro,MNE
United Arab Emirates,ARE,Oman,OMN
United Arab Emirates,ARE,Saudi Arabia,SAU
Argentina,ARG,Bolivia,BOL
Argentina,ARG,Brazil,BRA
Argentina,ARG,Chile,CHL
Argentina,ARG,Paraguay,PRY
Argentina,ARG,Uruguay,URY
Armenia,ARM,Azerbaijan,AZE
Armenia,ARM,Georgia,GEO
Armenia,ARM,Iran,IRN
Armenia,ARM,Turkey,TUR
Austria,AUT,Switzerland,CHE
Austria,AUT,Czech Republic,CZE
Austria,AUT,Germany,DEU
Austria,AUT,Hungary,HUN
Austria,AUT,Italy,ITA
Austria,AUT,Slovakia,SVK
Austria,AUT,Slovenia,SVN
Azerbaijan,AZE,Armenia,ARM
Azerbaijan,AZE,Georgia,GEO
Azerbaijan,AZE,Iran,IRN
Azerbaijan,AZE,Russia,RUS
Azerbaijan,AZE,Turkey,TUR
Burundi,BDI,Democratic Republic of the Congo,COD
Burundi,BDI,Rwanda,RWA
Burundi,BDI,United Republic of Tanzania,TZA
Belgium,BEL,Germany,DEU
Belgium,BEL,France,FRA
Belgium,BEL,Luxembourg,LUX
Belgium,BEL,Netherlands,NLD
Benin,BEN,Burkina Faso,BFA
Benin,BEN,Niger,NER
Benin,BEN,Nigeria,NGA
Benin,BEN,Togo,TGO
Burkina Faso,BFA,Benin,BEN
Burkina Faso,BFA,Ivory Coast,CIV
Burkina Faso,BFA,Ghana,GHA
Burkina Faso,BFA,Mali,MLI
Burkina Faso,BFA,Niger,NER
Burkina Faso,BFA,Togo,TGO
Bangladesh,BGD,India,IND
Bangladesh,BGD,Myanmar,MMR
Bulgaria,BGR,Greece,GRC
Bulgaria,BGR,Macedonia,MKD
Bulgaria,BGR,Romania,ROU
Bulgaria,BGR,Republic of Serbia,SRB
Bulgaria,BGR,Turkey,TUR
Bosnia and Herzegovina,BIH,Croatia,HRV
Bosnia and Herzegovina,BIH,Montenegro,MNE
Bosnia and Herzegovina,BIH,Republic of Serbia,SRB
Belarus,BLR,Lithuania,LTU
Belarus,BLR,Latvia,LVA
Belarus,BLR,Poland,POL
Belarus,BLR,Russia,RUS
Belarus,BLR,Ukraine,UKR
Belize,BLZ,Guatemala,GTM
Belize,BLZ,Mexico,MEX
Bolivia,BOL,Argentina,ARG
Bolivia,BOL,Brazil,BRA
Bolivia,BOL,Chile,CHL
Bolivia,BOL,Peru,PER
Bolivia,BOL,Paraguay,PRY
Brazil,BRA,Argentina,ARG
Brazil,BRA,Bolivia,BOL
Brazil,BRA,Colombia,COL
Brazil,BRA,France,FRA
Brazil,BRA,Guyana,GUY
Brazil,BRA,Peru,PER
Brazil,BRA,Paraguay,PRY
Brazil,BRA,Suriname,SUR
Brazil,BRA,Uruguay,URY
Brazil,BRA,Venezuela,VEN
Brunei,BRN,Malaysia,MYS
Bhutan,BTN,China,CHN
Bhutan,BTN,India,IND
Botswana,BWA,Namibia,NAM
Botswana,BWA,South Africa,ZAF
Botswana,BWA,Zambia,ZMB
Botswana,BWA,Zimbabwe,ZWE
Central African Republic,CAF,Cameroon,CMR
Central African Republic,CAF,Democratic Republic of the Congo,COD
Central African Republic,CAF,Republic of Congo,COG
Central African Republic,CAF,Sudan,SDN
Central African Republic,CAF,Chad,TCD
Canada,CAN,United States of America,USA
Switzerland,CHE,Austria,AUT
Switzerland,CHE,Germany,DEU
Switzerland,CHE,France,FRA
Switzerland,CHE,Italy,ITA
Chile,CHL,Argentina,ARG
Chile,CHL,Bolivia,BOL
Chile,CHL,Peru,PER
China,CHN,Afghanistan,AFG
China,CHN,Bhutan,BTN
China,CHN,India,IND
China,CHN,Kazakhstan,KAZ
China,CHN,Kyrgyzstan,KGZ
China,CHN,Laos,LAO
China,CHN,Myanmar,MMR
China,CHN,Mongolia,MNG
China,CHN,Nepal,NPL
China,CHN,Pakistan,PAK
China,CHN,North Korea,PRK
China,CHN,Russia,RUS
China,CHN,Tajikistan,TJK
