from,to,r,g,b,a
urban,crop,255,183,183,255
urban,pastr,255,244,244,255
urban,range,255,251,251,255
urban,secdf,170,203,170,255
urban,secdn,232,241,232,255
primn,crop,255,0,0,255
primn,pastr,255,114,114,255
primn,range,255,240,240,255
primn,secdf,206,225,206,255
primn,secdn,255,238,238,255
primf,crop,255,71,71,255
primf,pastr,255,53,53,255
primf,range,255,42,42,255
primf,secdf,255,60,60,255
primf,secdn,255,140,140,255
secdn,crop,255,135,135,255
secdn,pastr,255,210,210,255
secdn,range,255,249,249,255
secdn,secdf,197,219,197,255
secdn,secdn,255,255,255,255
secdf,crop,255,80,80,255
secdf,pastr,255,117,117,255
secdf,range,255,105,105,255
secdf,secdf,255,255,255,255
secdf,secdn,255,206,206,255
range,crop,255,189,189,255
range,pastr,255,253,253,255
range,range,255,255,255,255
range,secdf,116,171,116,255
range,secdn,252,253,252,255
pastr,crop,255,203,203,255
pastr,pastr,255,255,255,255
pastr,range,225,237,225,255
pastr,secdf,59,136,59,255
pastr,secdn,177,208,177,255
crop,crop,255,255,255,255
crop,pastr,161,198,161,255
crop,range,181,210,181,255
crop,secdf,56,134,56,255
crop,secdn,91,156,91,255
